ID,Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
21,CUST_000021,User_21,61,594-48-3025,Salaried,25448,1710,1,1,22.9,2,Student Loan,3,4,21.7,0,Good,2050,0.2410917218763587,16,Yes,826,210,Low_spent_Large_value_payments,110,Poor
22,CUST_000022,User_22,47,220-24-8429,Salaried,29143,1896,3,1,9.0,0,Home Loan,3,3,32.5,4,Standard,2725,0.24440655722433977,19,Yes,120,84,High_spent_Small_value_payments,2007,Good
23,CUST_000023,User_23,55,827-65-9752,Salaried,30248,2479,2,2,16.5,2,Not Specified,2,3,19.0,1,Standard,1807,0.050495919682509875,43,Yes,328,184,Low_spent_Medium_value_payments,3273,Standard
24,CUST_000024,User_24,19,703-10-1539,Unemployed,109913,8559,1,2,22.4,0,Personal Loan,5,1,23.9,3,Good,650,0.33667058373970016,19,No,185,520,Low_spent_Medium_value_payments,7710,Good
25,CUST_000025,User_25,38,455-29-6959,Salaried,15268,1224,4,2,22.1,1,Auto Loan,3,2,32.4,2,Good,869,0.3774081622869594,9,Yes,746,137,Low_spent_Medium_value_payments,128,Poor
26,CUST_000026,User_26,50,164-60-6546,Salaried,66643,4471,3,3,9.9,0,Auto Loan,3,4,42.9,2,Good,771,0.07985958151620297,43,Yes,869,12,Low_spent_Large_value_payments,2923,Poor
27,CUST_000027,User_27,29,916-34-3758,Salaried,45269,3257,5,3,13.4,1,Student Loan,2,0,28.5,2,Standard,3178,0.21409476388547927,79,Yes,618,1005,Low_spent_Large_value_payments,1241,Poor
28,CUST_000028,User_28,39,291-70-5107,Salaried,32794,1915,2,2,22.1,0,Home Loan,2,1,31.3,0,Standard,4103,0.2057701968372488,208,Yes,807,254,Low_spent_Large_value_payments,938,Poor
29,CUST_000029,User_29,61,338-90-3500,Unemployed,19179,1362,3,3,5.3,1,Credit Card,2,3,33.4,1,Bad,1185,0.2431502495821315,18,Yes,1897,1208,High_spent_Medium_value_payments,-2649,Standard
30,CUST_000030,User_30,42,482-23-1047,Salaried,71973,5444,2,1,9.6,1,Student Loan,4,4,20.8,2,Good,1819,0.4587376699521019,2,Yes,231,28,High_spent_Medium_value_payments,4175,Good
31,CUST_000031,User_31,66,416-90-6666,Self-Employed,18118,1334,1,1,9.6,0,Credit Card,3,4,1.9,3,Standard,2025,0.09652561010889105,27,Yes,337,92,High_spent_Small_value_payments,281,Standard
32,CUST_000032,User_32,44,218-74-7458,Self-Employed,42632,2838,3,4,8.9,0,Home Loan,1,1,13.6,0,Standard,2807,0.3959651085247321,17,No,746,242,High_spent_Small_value_payments,2433,Poor
33,CUST_000033,User_33,59,853-45-8630,Self-Employed,22635,1807,1,2,20.1,2,Home Loan,0,2,39.9,3,Standard,107,0.3652638982608089,75,Yes,1684,286,High_spent_Medium_value_payments,-526,Standard
34,CUST_000034,User_34,45,863-28-3802,Salaried,63313,4823,5,2,22.3,0,Auto Loan,5,1,32.8,2,Good,1866,0.2387492924135882,28,Yes,721,48,High_spent_Small_value_payments,4427,Poor
35,CUST_000035,User_35,33,653-78-9594,Self-Employed,24117,1812,3,1,5.6,0,Auto Loan,1,0,11.0,2,Standard,4829,0.1713872656297644,316,Yes,1289,66,Low_spent_Medium_value_payments,1130,Standard
36,CUST_000036,User_36,32,206-48-7724,Student,45084,3565,3,2,14.3,1,Personal Loan,5,2,24.9,3,Standard,2025,0.25582758366585145,47,Yes,260,536,High_spent_Small_value_payments,3769,Poor
37,CUST_000037,User_37,64,279-21-2149,Unemployed,30191,2182,1,2,13.9,0,Auto Loan,4,0,23.2,3,Standard,1013,0.49537488864667506,17,Yes,85,197,High_spent_Medium_value_payments,1775,Poor
38,CUST_000038,User_38,68,162-85-4153,Self-Employed,23291,1629,1,1,9.5,0,Not Specified,5,3,44.6,2,Good,1985,0.5656737822492882,19,Yes,311,71,High_spent_Medium_value_payments,1554,Standard
39,CUST_000039,User_39,61,918-52-1751,Salaried,17100,1245,3,1,18.9,3,Not Specified,4,2,35.5,4,Bad,1232,0.1669076849124719,67,No,1058,339,High_spent_Medium_value_payments,154,Good
40,CUST_000040,User_40,69,708-58-9849,Salaried,58443,3824,1,2,7.7,0,Home Loan,5,1,15.2,3,Standard,841,0.5189014581030144,33,Yes,1060,133,Low_spent_Large_value_payments,3131,Standard
41,CUST_000041,User_41,20,736-70-2540,Student,46785,3650,4,3,17.9,0,Student Loan,4,1,20.7,3,Standard,4601,0.2845563319724691,6,Yes,413,311,Low_spent_Medium_value_payments,3195,Poor
42,CUST_000042,User_42,54,123-73-9506,Self-Employed,25618,1810,4,3,6.6,0,Home Loan,3,3,44.8,1,Bad,1546,0.042974933144561,30,Yes,698,29,High_spent_Medium_value_payments,1099,Poor
43,CUST_000043,User_43,68,393-42-6796,Salaried,29760,2254,2,1,9.6,1,Credit Card,2,5,6.5,1,Good,3974,0.1944646468497399,48,No,353,133,High_spent_Medium_value_payments,2360,Good
44,CUST_000044,User_44,24,580-96-3314,Salaried,18676,1463,4,2,5.5,2,Personal Loan,1,3,34.2,2,Good,5294,0.08802529125914876,6,No,296,71,Low_spent_Large_value_payments,803,Good
45,CUST_000045,User_45,38,891-97-2649,Unemployed,23192,1478,1,3,20.2,0,Home Loan,1,2,33.4,2,Standard,2929,0.31411260697216026,52,No,843,233,Low_spent_Medium_value_payments,1410,Standard
46,CUST_000046,User_46,26,632-29-7900,Student,37501,2220,2,3,18.7,4,Home Loan,2,0,31.1,3,Good,51853,0.2391472676252536,36,No,371,72,Low_spent_Large_value_payments,1254,Good
47,CUST_000047,User_47,56,877-98-3478,Salaried,20710,1418,3,2,12.2,0,Not Specified,3,3,3.3,3,Good,2697,0.26466806410069904,14,Yes,543,51,Low_spent_Medium_value_payments,1048,Poor
48,CUST_000048,User_48,35,851-56-8054,Salaried,35469,2175,3,2,18.4,2,Credit Card,1,0,10.0,2,Bad,2400,0.14770393219990682,92,No,378,77,Low_spent_Medium_value_payments,2044,Poor
49,CUST_000049,User_49,21,843-71-7209,Retired,50803,3233,3,1,13.5,3,Personal Loan,1,0,47.8,1,Good,1832,0.23575935193088468,109,Yes,105,492,High_spent_Medium_value_payments,2631,Poor
50,CUST_000050,User_50,42,477-13-3256,Self-Employed,39502,2425,2,1,21.5,2,Auto Loan,1,1,21.8,6,Good,4451,0.3967979359966449,20,Yes,278,225,Low_spent_Large_value_payments,1539,Poor
51,CUST_000051,User_51,31,514-25-4368,Salaried,18336,1501,3,1,10.4,1,Home Loan,6,2,15.4,2,Bad,1594,0.12421427824647012,417,Yes,668,158,High_spent_Small_value_payments,168,Standard
52,CUST_000052,User_52,67,319-10-9558,Salaried,35810,2592,2,2,14.7,1,Not Specified,4,4,17.2,3,Standard,828,0.49987546956900825,4,Yes,511,49,High_spent_Medium_value_payments,2251,Good
53,CUST_000053,User_53,26,879-65-4603,Salaried,82501,6673,3,3,14.8,0,Home Loan,1,0,16.4,2,Standard,1738,0.24561248877228142,118,Yes,116,142,High_spent_Medium_value_payments,6116,Good
54,CUST_000054,User_54,43,549-45-5517,Salaried,74847,5661,3,3,21.6,1,Personal Loan,1,0,7.7,2,Good,2070,0.3131503186679968,3,Yes,59,110,High_spent_Small_value_payments,5799,Good
55,CUST_000055,User_55,19,719-70-8345,Self-Employed,31136,2256,1,4,20.4,0,Not Specified,4,1,16.1,3,Good,2226,0.43244375605989427,11,Yes,1385,206,High_spent_Medium_value_payments,532,Standard
56,CUST_000056,User_56,37,707-68-1019,Student,28480,2307,1,2,6.0,1,Home Loan,5,1,0.1,2,Good,5601,0.5946115927076296,11,No,877,884,Low_spent_Medium_value_payments,798,Standard
57,CUST_000057,User_57,45,775-24-1061,Self-Employed,54041,4016,3,1,10.2,1,Not Specified,3,2,23.9,2,Good,5294,0.3243330094346769,13,Yes,203,126,High_spent_Medium_value_payments,3415,Poor
58,CUST_000058,User_58,64,341-12-4716,Self-Employed,29349,1713,2,2,19.5,0,Credit Card,4,4,36.0,1,Standard,1535,0.191979719279639,54,Yes,979,116,High_spent_Medium_value_payments,720,Poor
59,CUST_000059,User_59,24,222-65-6022,Self-Employed,17191,1290,4,2,5.7,1,Personal Loan,2,2,11.2,1,Good,2803,0.40329231595109666,68,Yes,112,48,High_spent_Medium_value_payments,1862,Poor
60,CUST_000060,User_60,61,441-44-2653,Salaried,46336,3377,3,1,18.5,3,Home Loan,0,3,21.5,4,Standard,1116,0.15885631103398334,70,Yes,436,316,High_spent_Small_value_payments,2413,Good
61,CUST_000061,User_61,25,554-79-1281,Salaried,24052,1676,5,4,21.2,1,Auto Loan,4,0,2.6,1,Standard,2336,0.357428752216762,19,Yes,218,205,Low_spent_Large_value_payments,1816,Good
62,CUST_000062,User_62,64,985-10-4403,Salaried,29114,2040,6,2,17.6,0,Home Loan,3,1,17.2,0,Standard,6861,0.3323358870042098,41,Yes,520,37,High_spent_Small_value_payments,2505,Poor
63,CUST_000063,User_63,52,311-96-5760,Retired,36552,2997,6,2,11.1,2,Auto Loan,2,1,19.2,1,Standard,10182,0.09573825981411309,20,Yes,800,99,High_spent_Medium_value_payments,1912,Poor
64,CUST_000064,User_64,31,961-68-7940,Salaried,26795,2143,5,1,13.2,0,Home Loan,4,2,29.6,4,Standard,2029,0.3689116348517916,189,Yes,209,90,High_spent_Small_value_payments,1766,Poor
65,CUST_000065,User_65,34,194-27-4194,Salaried,51931,3843,3,3,15.0,1,Credit Card,3,2,15.2,2,Good,1242,0.2415774682733582,16,No,288,517,Low_spent_Medium_value_payments,2547,Poor
66,CUST_000066,User_66,53,754-63-4775,Salaried,51563,3028,5,2,13.9,1,Personal Loan,1,1,32.3,3,Good,2713,0.23095092980250648,3,Yes,389,1875,High_spent_Medium_value_payments,1177,Standard
67,CUST_000067,User_67,67,555-24-6350,Unemployed,51881,3849,1,4,14.2,0,Auto Loan,6,2,33.5,2,Bad,2792,0.6145421115861173,2,Yes,640,70,High_spent_Medium_value_payments,3203,Good
68,CUST_000068,User_68,57,633-27-4663,Student,69106,5577,3,3,6.7,0,Personal Loan,3,1,38.4,2,Good,6992,0.39439630374723206,129,Yes,812,243,High_spent_Small_value_payments,4846,Standard
69,CUST_000069,User_69,21,229-45-3959,Student,34931,2089,3,3,6.4,2,Credit Card,3,1,27.0,5,Standard,14575,0.24541108803481218,109,No,103,166,Low_spent_Large_value_payments,1656,Standard
70,CUST_000070,User_70,19,934-39-4649,Salaried,24846,1651,1,2,16.1,1,Not Specified,6,2,17.3,0,Standard,2162,0.14444053397627266,27,Yes,525,868,High_spent_Small_value_payments,-206,Good
71,CUST_000071,User_71,23,838-35-4512,Salaried,22404,1689,2,1,21.1,1,Personal Loan,2,1,42.8,2,Standard,6914,0.4754331122352138,157,No,342,91,Low_spent_Medium_value_payments,1331,Standard
72,CUST_000072,User_72,59,864-78-9833,Salaried,21394,1648,3,1,9.6,1,Personal Loan,5,3,35.6,3,Standard,2678,0.3431096540596125,48,Yes,1267,474,Low_spent_Medium_value_payments,-965,Good
73,CUST_000073,User_73,21,342-65-1723,Retired,17452,1184,2,4,21.3,2,Credit Card,1,2,7.9,3,Bad,2840,0.771838439267509,94,Yes,227,113,High_spent_Small_value_payments,1159,Good
74,CUST_000074,User_74,46,289-43-1737,Salaried,21411,1348,4,3,11.7,1,Credit Card,2,4,28.3,4,Standard,9419,0.49894563291770305,31,Yes,537,145,High_spent_Small_value_payments,809,Standard
75,CUST_000075,User_75,35,857-65-2299,Retired,47158,3123,4,2,21.2,1,Student Loan,3,1,33.3,3,Standard,3558,0.2695676164310333,27,Yes,137,67,Low_spent_Medium_value_payments,3297,Standard
76,CUST_000076,User_76,43,917-34-1339,Self-Employed,33569,2304,3,2,9.6,1,Personal Loan,4,0,26.9,2,Standard,4382,0.2880787105260706,0,Yes,591,9,Low_spent_Medium_value_payments,995,Standard
77,CUST_000077,User_77,61,252-62-4051,Student,51575,3061,3,1,14.8,2,Auto Loan,2,3,38.3,1,Bad,5534,0.4961921672539269,77,No,650,127,Low_spent_Large_value_payments,1944,Good
78,CUST_000078,User_78,51,526-71-7347,Salaried,18032,1421,5,1,21.5,0,Auto Loan,2,2,27.9,2,Standard,475,0.13265057335508887,25,Yes,118,79,Low_spent_Medium_value_payments,1236,Standard
79,CUST_000079,User_79,27,211-78-9126,Unemployed,28194,2283,1,2,18.9,0,Student Loan,1,3,48.5,4,Bad,731,0.1105263103622681,18,Yes,287,54,Low_spent_Medium_value_payments,2632,Poor
80,CUST_000080,User_80,53,357-63-8695,Salaried,151156,9395,2,2,24.4,2,Auto Loan,3,1,36.8,3,Bad,3280,0.07301717122337388,102,Yes,1705,46,High_spent_Small_value_payments,8336,Standard
81,CUST_000081,User_81,31,449-52-3482,Self-Employed,71656,5329,5,3,10.9,0,Home Loan,4,3,10.8,0,Bad,11660,0.4662309853967743,69,Yes,205,422,High_spent_Medium_value_payments,4651,Standard
82,CUST_000082,User_82,48,525-33-1370,Salaried,118639,8545,2,1,21.5,0,Auto Loan,3,4,29.3,1,Standard,562,0.7141360728630646,41,Yes,433,156,High_spent_Medium_value_payments,7142,Good
83,CUST_000083,User_83,65,769-46-3296,Salaried,93003,6465,1,4,6.1,0,Not Specified,1,6,24.3,3,Standard,2059,0.2435726987215968,38,Yes,510,46,High_spent_Small_value_payments,6863,Standard
84,CUST_000084,User_84,32,990-62-8142,Unemployed,34940,2445,2,2,24.4,0,Student Loan,7,4,1.9,2,Bad,4796,0.24472944124619633,11,Yes,433,661,High_spent_Medium_value_payments,750,Standard
85,CUST_000085,User_85,25,750-87-8028,Salaried,41220,3405,2,3,5.5,3,Student Loan,5,1,12.2,4,Bad,9244,0.49363902314997515,4,Yes,2627,154,Low_spent_Large_value_payments,1433,Standard
86,CUST_000086,User_86,31,435-59-5021,Self-Employed,38202,2442,2,1,23.9,2,Credit Card,3,1,17.0,4,Standard,1244,0.16243212918832445,62,Yes,464,110,High_spent_Small_value_payments,1950,Standard
87,CUST_000087,User_87,40,416-87-6970,Self-Employed,27420,1685,2,2,5.7,3,Credit Card,3,5,45.8,5,Bad,8276,0.11168593492153316,109,Yes,158,469,High_spent_Medium_value_payments,1027,Standard
88,CUST_000088,User_88,57,862-14-7755,Unemployed,80733,4851,1,1,20.0,0,Auto Loan,3,1,49.0,2,Standard,1469,0.22495270929910324,61,Yes,546,101,Low_spent_Medium_value_payments,4200,Poor
89,CUST_000089,User_89,38,783-40-7262,Salaried,62896,4577,3,2,18.5,0,Personal Loan,2,1,1.7,3,Good,717,0.30129855890585194,82,Yes,407,278,Low_spent_Medium_value_payments,4167,Standard
90,CUST_000090,User_90,33,449-30-9878,Self-Employed,67671,5610,1,3,12.6,1,Personal Loan,4,3,40.3,2,Good,3534,0.014027341616326008,11,Yes,464,381,Low_spent_Medium_value_payments,5135,Poor
91,CUST_000091,User_91,62,641-64-3755,Unemployed,19732,1311,1,3,23.2,0,Personal Loan,4,2,11.8,1,Standard,3090,0.05322689195217615,43,Yes,796,394,High_spent_Small_value_payments,-68,Good
92,CUST_000092,User_92,35,552-50-3732,Student,25118,1521,3,2,23.7,1,Home Loan,6,0,41.3,0,Good,10171,0.45984007502620605,30,Yes,155,171,Low_spent_Medium_value_payments,1479,Good
93,CUST_000093,User_93,64,429-89-2693,Retired,41321,2455,5,2,22.8,1,Auto Loan,4,2,13.9,0,Standard,262,0.22887640574722326,3,Yes,1516,199,High_spent_Small_value_payments,894,Poor
94,CUST_000094,User_94,41,944-94-1684,Student,19961,1207,4,2,24.9,0,Auto Loan,6,3,33.4,3,Good,160,0.26968396248534515,10,No,452,118,Low_spent_Large_value_payments,535,Standard
95,CUST_000095,User_95,43,344-54-6454,Self-Employed,35907,2121,3,3,16.4,0,Credit Card,3,2,37.6,2,Bad,687,0.3429888722735262,22,Yes,938,267,Low_spent_Large_value_payments,890,Poor
96,CUST_000096,User_96,42,311-93-7828,Salaried,18698,1388,2,6,17.7,2,Credit Card,1,3,31.5,3,Standard,4123,0.45551519168243587,24,No,540,73,High_spent_Medium_value_payments,708,Standard
97,CUST_000097,User_97,62,282-68-2156,Salaried,19283,1428,6,2,14.8,1,Not Specified,1,2,49.4,4,Good,17052,0.15517481769641508,90,No,1321,48,High_spent_Small_value_payments,-290,Standard
98,CUST_000098,User_98,58,991-41-6893,Salaried,80859,6498,2,2,23.8,1,Student Loan,2,1,31.3,1,Good,717,0.14441664484666694,73,Yes,895,291,Low_spent_Large_value_payments,5865,Good
99,CUST_000099,User_99,46,449-35-7436,Salaried,125347,8425,1,1,20.5,1,Student Loan,1,5,42.9,2,Standard,1768,0.17215304857128125,27,No,219,306,High_spent_Medium_value_payments,8383,Standard
100,CUST_000100,User_100,32,368-78-8902,Salaried,58288,3512,3,3,23.6,0,Credit Card,5,2,17.3,0,Good,2750,0.23277278130235737,186,Yes,877,92,High_spent_Small_value_payments,2837,Standard
101,CUST_000101,User_101,62,119-81-2979,Salaried,26663,1890,4,3,22.7,0,Auto Loan,1,2,36.9,5,Good,2609,0.24543170550895418,14,Yes,549,182,Low_spent_Large_value_payments,1654,Good
102,CUST_000102,User_102,18,812-30-2918,Salaried,34288,2327,4,4,9.4,2,Student Loan,1,3,29.8,0,Standard,4447,0.45927326254760975,30,No,483,124,Low_spent_Medium_value_payments,920,Poor
103,CUST_000103,User_103,42,800-93-5046,Student,46790,2973,4,2,10.2,0,Auto Loan,1,3,10.9,0,Good,6075,0.31282505040257025,30,Yes,412,234,Low_spent_Large_value_payments,1244,Poor
104,CUST_000104,User_104,24,125-63-1394,Salaried,52664,3567,4,3,21.7,0,Personal Loan,5,3,45.3,1,Bad,5297,0.24421753658350076,126,Yes,174,152,Low_spent_Large_value_payments,3463,Good
105,CUST_000105,User_105,26,480-20-9741,Student,36376,2187,3,1,17.9,3,Student Loan,2,2,19.3,1,Good,4216,0.010407818434006264,40,No,224,170,Low_spent_Medium_value_payments,1643,Standard
106,CUST_000106,User_106,41,544-96-9116,Retired,54860,4039,3,2,18.5,0,Not Specified,6,5,9.4,5,Standard,2587,0.2515720306576424,137,No,1485,42,Low_spent_Medium_value_payments,2039,Poor
107,CUST_000107,User_107,18,932-12-7811,Self-Employed,39925,2733,1,1,11.1,1,Not Specified,5,1,34.0,1,Good,1338,0.14097429543962142,207,No,87,142,Low_spent_Large_value_payments,2441,Good
108,CUST_000108,User_108,61,497-61-1285,Salaried,23208,1907,4,2,24.2,2,Credit Card,1,1,20.9,4,Bad,9330,0.5531293624666355,28,Yes,584,416,Low_spent_Large_value_payments,121,Good
109,CUST_000109,User_109,25,797-63-8108,Salaried,45637,2828,1,1,12.1,0,Home Loan,6,0,10.7,5,Good,2286,0.14747642112583265,26,No,1862,206,High_spent_Medium_value_payments,922,Standard
110,CUST_000110,User_110,41,468-24-2445,Salaried,64988,5276,6,3,19.7,1,Personal Loan,2,2,23.0,6,Good,4098,0.16186499283273822,56,Yes,144,67,Low_spent_Large_value_payments,5298,Good
111,CUST_000111,User_111,28,817-23-2466,Salaried,43775,2933,4,2,7.8,1,Student Loan,0,0,3.7,7,Standard,3683,0.3401226919273851,7,Yes,834,173,High_spent_Small_value_payments,3105,Standard
112,CUST_000112,User_112,68,852-17-8167,Self-Employed,23582,1478,2,2,19.1,0,Home Loan,5,0,19.7,4,Bad,2743,0.39867859067674283,16,No,368,132,Low_spent_Medium_value_payments,103,Standard
113,CUST_000113,User_113,34,683-28-9479,Self-Employed,38604,3177,1,2,12.9,2,Auto Loan,7,2,7.2,2,Bad,8931,0.5978694156769608,87,No,188,325,Low_spent_Medium_value_payments,3498,Standard
114,CUST_000114,User_114,25,194-38-5426,Salaried,26368,1605,3,1,5.8,1,Not Specified,3,1,43.3,1,Standard,3783,0.4124342982149156,14,Yes,146,137,Low_spent_Medium_value_payments,1006,Standard
115,CUST_000115,User_115,52,912-22-2178,Salaried,21915,1804,3,3,6.2,0,Not Specified,6,3,23.3,1,Standard,2518,0.10702735447246749,51,Yes,433,25,High_spent_Small_value_payments,1361,Standard
116,CUST_000116,User_116,52,603-28-7322,Salaried,21878,1538,3,3,19.5,3,Auto Loan,2,3,10.5,3,Standard,29706,0.2397036555926379,23,Yes,689,234,High_spent_Medium_value_payments,1350,Standard
117,CUST_000117,User_117,50,851-18-5862,Unemployed,24345,1745,2,3,7.7,1,Home Loan,5,3,38.7,2,Standard,5205,0.22315787113938837,86,Yes,495,452,High_spent_Medium_value_payments,584,Standard
118,CUST_000118,User_118,22,835-61-8349,Unemployed,42200,2996,3,4,23.6,0,Home Loan,5,1,42.5,1,Good,505,0.206890266210611,40,Yes,326,1494,Low_spent_Medium_value_payments,418,Standard
119,CUST_000119,User_119,59,358-78-4975,Student,74135,5078,4,2,20.3,1,Credit Card,4,1,6.7,4,Standard,3379,0.3136371544879873,91,Yes,566,12,High_spent_Small_value_payments,4702,Standard
120,CUST_000120,User_120,56,625-12-2292,Student,58709,4494,2,2,16.9,1,Personal Loan,3,0,12.9,3,Good,4184,0.16946950060041535,2,No,723,327,High_spent_Medium_value_payments,4185,Standard
121,CUST_000121,User_121,58,270-38-4655,Salaried,44727,2979,1,2,14.8,2,Not Specified,4,2,16.2,1,Good,2093,0.48087216213221956,137,No,1201,174,Low_spent_Medium_value_payments,1854,Standard
122,CUST_000122,User_122,45,790-51-7590,Self-Employed,56071,3516,1,1,10.2,1,Not Specified,5,3,7.5,4,Standard,1717,0.24351143302577072,63,Yes,392,737,High_spent_Medium_value_payments,2960,Poor
123,CUST_000123,User_123,24,765-27-2017,Salaried,69463,4602,2,1,18.7,0,Auto Loan,1,3,37.8,3,Standard,3514,0.3765760050959877,118,No,177,57,High_spent_Medium_value_payments,4172,Standard
124,CUST_000124,User_124,26,181-66-4590,Student,68565,4461,2,2,22.8,3,Home Loan,4,5,10.6,2,Standard,441,0.4592923494425913,44,Yes,398,124,High_spent_Medium_value_payments,4014,Standard
125,CUST_000125,User_125,25,211-57-7176,Salaried,35060,2276,2,2,12.0,3,Auto Loan,1,2,41.1,0,Standard,1556,0.13320402550155913,259,Yes,651,298,High_spent_Small_value_payments,1556,Standard
126,CUST_000126,User_126,29,603-12-8683,Salaried,27532,1703,5,2,16.3,1,Student Loan,2,2,32.8,0,Bad,1591,0.11385650353919946,32,Yes,384,820,Low_spent_Large_value_payments,480,Standard
127,CUST_000127,User_127,51,967-13-3089,Retired,97190,6529,6,3,15.0,2,Personal Loan,1,5,22.3,1,Standard,6062,0.5881836786849136,3,Yes,800,125,Low_spent_Medium_value_payments,6164,Standard
128,CUST_000128,User_128,50,108-60-4680,Unemployed,49274,3273,2,1,11.5,4,Personal Loan,1,1,44.7,3,Good,2811,0.48892431767926653,193,Yes,703,100,Low_spent_Large_value_payments,3105,Poor
